impl,size,median_gflops
mma_fp16acc,3072,24634.973
mma_fp16acc_m16n32,3072,35467.372
mma_fp16acc_m16n32_k32,3072,48772.943
mma_fp16acc_m16n32_k32_4x2,3072,63962.836
mma_fp16acc_m16n32_k32_4x4,3072,54392.991
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3072,82198.350
cublaslt_fp16acc,3072,155671.577
wmma_fp16acc_staged_cpasync_k64_skew16,3328,93987.249
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3328,106812.010
mma_fp16acc,3328,21037.784
mma_fp16acc_m16n32,3328,22876.167
mma_fp16acc_m16n32_k32,3328,38374.570
mma_fp16acc_m16n32_k32_4x2,3328,54563.401
mma_fp16acc_m16n32_k32_4x4,3328,46337.628
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3328,79677.703
cublaslt_fp16acc,3328,152216.553
wmma_fp16acc_staged_cpasync_k64_skew16,3584,95047.985
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3584,109006.936
mma_fp16acc,3584,21153.841
mma_fp16acc_m16n32,3584,22311.079
mma_fp16acc_m16n32_k32,3584,37427.466
mma_fp16acc_m16n32_k32_4x2,3584,58677.146
mma_fp16acc_m16n32_k32_4x4,3584,50815.359
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3584,83332.156
cublaslt_fp16acc,3584,140492.804
wmma_fp16acc_staged_cpasync_k64_skew16,3840,92669.195
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3840,108317.339
mma_fp16acc,3840,21031.092
mma_fp16acc_m16n32,3840,22515.161
mma_fp16acc_m16n32_k32,3840,37506.094
mma_fp16acc_m16n32_k32_4x2,3840,59580.185
mma_fp16acc_m16n32_k32_4x4,3840,51775.282
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3840,80935.476
cublaslt_fp16acc,3840,141960.929
wmma_fp16acc_staged_cpasync_k64_skew16,4096,95733.047
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,4096,111785.517
mma_fp16acc,4096,21456.599
mma_fp16acc_m16n32,4096,24068.048
mma_fp16acc_m16n32_k32,4096,39024.403
mma_fp16acc_m16n32_k32_4x2,4096,62616.158
mma_fp16acc_m16n32_k32_4x4,4096,55619.522
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,4096,83756.029
cublaslt_fp16acc,4096,161903.165
