impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6553.600
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1104.345
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1566.208
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4865.782
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5391.136
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,256,5745.622
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,256,6297.754
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4702.134
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,4888.466
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,256,3640.889
cublaslt_fp16acc,256,6657.625
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29279.609
mma_fp16acc,512,10965.501
mma_fp16acc_m16n32,512,4683.757
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7081.982
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24350.096
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26420.812
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26630.501
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,512,26214.401
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,512,31536.122
