impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6678.828
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5475.593
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1100.867
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1567.378
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,5053.378
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5349.878
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4681.143
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,4865.782
cublaslt_fp16acc,256,6700.166
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29485.440
mma_fp16acc,512,10951.185
mma_fp16acc_m16n32,512,4681.143
mma_fp16acc_m16n32_k32,512,6909.891
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7067.067
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,25078.052
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26672.839
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,27191.599
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23831.273
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,18914.561
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,512,24528.095
cublaslt_fp16acc,512,35320.454
wmma_fp16acc_staged_cpasync_k64_skew16,768,58555.432
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46795.958
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10184.012
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21215.100
mma_fp16acc_m16n32_k32_4x4,768,16090.680
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46951.165
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,768,40648.315
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,40387.379
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,768,49109.368
cublaslt_fp16acc,768,59918.630
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63459.917
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21183.354
mma_fp16acc_m16n32,1024,18238.583
mma_fp16acc_m16n32_k32,1024,26353.373
mma_fp16acc_m16n32_k32_4x2,1024,38130.036
mma_fp16acc_m16n32_k32_4x4,1024,29152.416
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69868.678
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1024,68200.062
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1024,73063.542
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1024,80369.896
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,76182.507
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77283.019
mma_fp16acc,1280,22142.410
mma_fp16acc_m16n32,1280,27326.590
mma_fp16acc_m16n32_k32,1280,36556.127
mma_fp16acc_m16n32_k32_4x2,1280,43115.788
mma_fp16acc_m16n32_k32_4x4,1280,43101.610
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71859.648
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1280,73142.856
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1280,77488.622
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1280,64000.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1280,68195.631
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1280,77010.574
cublaslt_fp16acc,1280,105025.645
wmma_fp16acc_staged_cpasync_k64_skew16,1536,91920.627
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91920.627
mma_fp16acc,1536,23073.799
mma_fp16acc_m16n32,1536,37449.143
mma_fp16acc_m16n32_k32,1536,42637.880
mma_fp16acc_m16n32_k32_4x2,1536,42912.545
mma_fp16acc_m16n32_k32_4x4,1536,34703.504
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1536,57065.365
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1536,71224.030
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1536,92163.751
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1536,66148.486
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1536,70078.101
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1536,87381.335
cublaslt_fp16acc,1536,104110.503
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91389.039
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92887.804
mma_fp16acc,1792,23711.865
mma_fp16acc_m16n32,1792,28672.001
mma_fp16acc_m16n32_k32,1792,39505.882
mma_fp16acc_m16n32_k32_4x2,1792,54296.733
mma_fp16acc_m16n32_k32_4x4,1792,45320.259
