impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6574.145
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2774.010
mma_fp16acc_m16n32,256,1127.501
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1566.208
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4865.782
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,4922.892
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5418.997
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,256,5745.622
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,256,5577.532
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,256,5991.863
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4691.615
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,4766.255
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,256,3640.889
cublaslt_fp16acc,256,6875.908
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29589.446
mma_fp16acc,512,10936.907
mma_fp16acc_m16n32,512,4690.304
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7073.026
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24420.984
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26462.486
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26462.486
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,512,26214.401
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,512,32768.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,512,32768.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,512,31956.603
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23831.273
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,18724.571
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,512,24350.096
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,512,19043.378
cublaslt_fp16acc,512,37449.142
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46565.055
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10287.628
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21112.269
mma_fp16acc_m16n32_k32_4x4,768,16154.952
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46641.769
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46873.430
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,768,46298.532
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,768,52043.293
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,768,52187.193
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,768,52043.293
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,768,41391.160
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,41360.925
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,768,49151.998
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,768,40590.038
cublaslt_fp16acc,768,60173.330
wmma_fp16acc_staged_cpasync_k64_skew16,1024,62983.443
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21176.670
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26317.201
mma_fp16acc_m16n32_k32_4x2,1024,37659.296
mma_fp16acc_m16n32_k32_4x4,1024,29459.552
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,68338.964
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,1024,81147.356
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,1024,95325.090
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,1024,95801.379
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,1024,95869.809
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1024,68200.062
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1024,74898.285
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1024,80659.693
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1024,73262.953
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,75917.753
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77283.019
mma_fp16acc,1280,22140.541
mma_fp16acc_m16n32,1280,27306.665
mma_fp16acc_m16n32_k32,1280,36277.885
mma_fp16acc_m16n32_k32_4x2,1280,43144.173
mma_fp16acc_m16n32_k32_4x4,1280,42897.073
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71292.905
