impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6615.621
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5533.383
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1122.672
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1574.438
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,5077.850
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5461.333
cublaslt_fp16acc,256,6636.557
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29228.599
mma_fp16acc,512,10979.853
mma_fp16acc_m16n32,512,4682.449
mma_fp16acc_m16n32_k32,512,6907.046
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7049.251
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24528.095
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26630.501
cublaslt_fp16acc,512,36002.610
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,47662.547
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10196.850
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21128.025
mma_fp16acc_m16n32_k32_4x4,768,16154.952
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46565.055
cublaslt_fp16acc,768,60173.330
wmma_fp16acc_staged_cpasync_k64_skew16,1024,61680.940
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87552.332
mma_fp16acc,1024,21280.755
mma_fp16acc_m16n32,1024,18221.251
mma_fp16acc_m16n32_k32,1024,26431.219
mma_fp16acc_m16n32_k32_4x2,1024,38173.415
mma_fp16acc_m16n32_k32_4x4,1024,29165.086
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,75983.769
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77305.810
mma_fp16acc,1280,22140.541
mma_fp16acc_m16n32,1280,27315.203
mma_fp16acc_m16n32_k32,1280,36571.428
mma_fp16acc_m16n32_k32_4x2,1280,43115.788
mma_fp16acc_m16n32_k32_4x4,1280,43115.788
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71761.290
