impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6553.600
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5504.336
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1126.290
mma_fp16acc_m16n32_k32,256,1586.348
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1567.378
cublaslt_fp16acc,256,6636.557
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29485.440
mma_fp16acc,512,10922.666
mma_fp16acc_m16n32,512,4681.143
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7067.067
cublaslt_fp16acc,512,37449.142
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46873.430
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10178.519
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21175.431
mma_fp16acc_m16n32_k32_4x4,768,16136.536
cublaslt_fp16acc,768,60624.308
wmma_fp16acc_staged_cpasync_k64_skew16,1024,61851.488
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21183.354
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26270.841
mma_fp16acc_m16n32_k32_4x2,1024,37914.613
mma_fp16acc_m16n32_k32_4x4,1024,29127.110
cublaslt_fp16acc,1024,67378.376
wmma_fp16acc_staged_cpasync_k64_skew16,1280,76160.374
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77283.019
mma_fp16acc,1280,22021.505
mma_fp16acc_m16n32,1280,27306.665
mma_fp16acc_m16n32_k32,1280,36247.787
mma_fp16acc_m16n32_k32_4x2,1280,42939.229
mma_fp16acc_m16n32_k32_4x4,1280,42666.665
cublaslt_fp16acc,1280,105025.645
wmma_fp16acc_staged_cpasync_k64_skew16,1536,91364.427
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91920.627
mma_fp16acc,1536,22976.659
mma_fp16acc_m16n32,1536,37252.041
mma_fp16acc_m16n32_k32,1536,42637.880
mma_fp16acc_m16n32_k32_4x2,1536,42786.891
mma_fp16acc_m16n32_k32_4x4,1536,34568.442
cublaslt_fp16acc,1536,104086.586
wmma_fp16acc_staged_cpasync_k64_skew16,1792,90777.783
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92209.093
mma_fp16acc,1792,23682.200
mma_fp16acc_m16n32,1792,28599.044
mma_fp16acc_m16n32_k32,1792,39363.201
mma_fp16acc_m16n32_k32_4x2,1792,54035.693
mma_fp16acc_m16n32_k32_4x4,1792,45246.139
cublaslt_fp16acc,1792,113529.539
wmma_fp16acc_staged_cpasync_k64_skew16,2048,91796.344
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,105964.849
mma_fp16acc,2048,24175.209
mma_fp16acc_m16n32,2048,36154.139
mma_fp16acc_m16n32_k32,2048,45179.746
mma_fp16acc_m16n32_k32_4x2,2048,59312.923
mma_fp16acc_m16n32_k32_4x4,2048,57886.780
cublaslt_fp16acc,2048,145888.832
wmma_fp16acc_staged_cpasync_k64_skew16,2304,95218.228
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2304,100067.009
mma_fp16acc,2304,24601.310
mma_fp16acc_m16n32,2304,32193.897
mma_fp16acc_m16n32_k32,2304,45071.455
mma_fp16acc_m16n32_k32_4x2,2304,59293.506
mma_fp16acc_m16n32_k32_4x4,2304,51254.652
cublaslt_fp16acc,2304,128214.001
wmma_fp16acc_staged_cpasync_k64_skew16,2560,91662.744
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2560,104941.556
mma_fp16acc,2560,24761.810
mma_fp16acc_m16n32,2560,37927.983
mma_fp16acc_m16n32_k32,2560,48388.374
mma_fp16acc_m16n32_k32_4x2,2560,59370.719
mma_fp16acc_m16n32_k32_4x4,2560,49946.461
cublaslt_fp16acc,2560,122740.963
wmma_fp16acc_staged_cpasync_k64_skew16,2816,92013.097
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2816,104348.011
mma_fp16acc,2816,25051.015
mma_fp16acc_m16n32,2816,35926.500
mma_fp16acc_m16n32_k32,2816,49061.576
mma_fp16acc_m16n32_k32_4x2,2816,62499.928
mma_fp16acc_m16n32_k32_4x4,2816,57078.489
cublaslt_fp16acc,2816,144530.073
wmma_fp16acc_staged_cpasync_k64_skew16,3072,95808.972
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3072,109734.704
mma_fp16acc,3072,24640.167
mma_fp16acc_m16n32,3072,35489.253
mma_fp16acc_m16n32_k32,3072,48770.977
mma_fp16acc_m16n32_k32_4x2,3072,63914.331
mma_fp16acc_m16n32_k32_4x4,3072,54314.727
cublaslt_fp16acc,3072,155557.975
wmma_fp16acc_staged_cpasync_k64_skew16,3328,93862.788
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3328,106703.171
mma_fp16acc,3328,21023.577
mma_fp16acc_m16n32,3328,22853.699
mma_fp16acc_m16n32_k32,3328,38415.205
mma_fp16acc_m16n32_k32_4x2,3328,54726.073
mma_fp16acc_m16n32_k32_4x4,3328,46356.277
cublaslt_fp16acc,3328,152903.551
wmma_fp16acc_staged_cpasync_k64_skew16,3584,95243.052
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3584,109525.605
mma_fp16acc,3584,21195.759
mma_fp16acc_m16n32,3584,22378.321
mma_fp16acc_m16n32_k32,3584,37591.275
mma_fp16acc_m16n32_k32_4x2,3584,58825.903
mma_fp16acc_m16n32_k32_4x4,3584,50705.657
cublaslt_fp16acc,3584,140933.210
wmma_fp16acc_staged_cpasync_k64_skew16,3840,92784.604
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3840,108736.685
mma_fp16acc,3840,21049.104
mma_fp16acc_m16n32,3840,22526.123
mma_fp16acc_m16n32_k32,3840,37476.706
mma_fp16acc_m16n32_k32_4x2,3840,59607.281
mma_fp16acc_m16n32_k32_4x4,3840,51766.953
cublaslt_fp16acc,3840,141966.625
wmma_fp16acc_staged_cpasync_k64_skew16,4096,95672.274
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,4096,111770.974
mma_fp16acc,4096,21476.555
mma_fp16acc_m16n32,4096,23099.170
mma_fp16acc_m16n32_k32,4096,38468.824
mma_fp16acc_m16n32_k32_4x2,4096,61818.993
mma_fp16acc_m16n32_k32_4x4,4096,54284.221
cublaslt_fp16acc,4096,172668.944
