impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6808.935
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5475.593
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1128.108
mma_fp16acc_m16n32_k32,256,1581.562
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1574.438
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4899.888
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,256,6026.299
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,256,5637.505
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_bprefetch,256,5761.406
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,256,5991.863
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4681.143
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3622.024
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,4809.982
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,256,3640.889
cublaslt_fp16acc,256,6786.900
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29228.599
mma_fp16acc,512,10979.853
mma_fp16acc_m16n32,512,4687.683
mma_fp16acc_m16n32_k32,512,6907.046
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7084.973
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24781.706
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26504.291
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26504.289
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,512,26214.401
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,512,31242.487
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,512,30012.908
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_bprefetch,512,32768.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,512,32768.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23730.149
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,19152.074
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,512,24209.546
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,512,19086.708
cublaslt_fp16acc,512,37449.142
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46757.310
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10189.510
mma_fp16acc_m16n32_k32,768,15003.472
mma_fp16acc_m16n32_k32_4x2,768,21183.353
mma_fp16acc_m16n32_k32_4x4,768,16090.680
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46450.456
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46834.660
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,768,45190.027
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,768,52043.293
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,768,52235.336
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_bprefetch,768,52139.138
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,768,52043.293
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,768,40590.038
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,40736.046
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,768,49066.817
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,768,41210.411
cublaslt_fp16acc,768,59918.630
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63852.387
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21180.011
mma_fp16acc_m16n32,1024,18233.626
mma_fp16acc_m16n32_k32,1024,26270.841
mma_fp16acc_m16n32_k32_4x2,1024,37669.866
mma_fp16acc_m16n32_k32_4x4,1024,29177.766
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,1024,95325.090
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,1024,95528.633
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_bprefetch,1024,95325.090
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync_nocheck,1024,95325.090
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1024,68234.735
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1024,72589.356
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1024,80659.693
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1024,74689.890
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,75983.769
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77055.848
mma_fp16acc,1280,22023.355
mma_fp16acc_m16n32,1280,27306.665
mma_fp16acc_m16n32_k32,1280,36247.787
mma_fp16acc_m16n32_k32_4x2,1280,43115.788
mma_fp16acc_m16n32_k32_4x4,1280,42764.110
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71859.648
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1280,71859.648
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1280,77328.614
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,1280,77146.556
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,1280,85556.134
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore_skiplastsync,1280,85977.044
