impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6636.557
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2752.168
mma_fp16acc_m16n32,256,1129.931
mma_fp16acc_m16n32_k32,256,1585.149
mma_fp16acc_m16n32_k32_4x2,256,2166.479
cublaslt_fp16acc,256,6944.212
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29177.766
mma_fp16acc,512,10979.853
mma_fp16acc_m16n32,512,4683.757
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9720.287
cublaslt_fp16acc,512,37449.142
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46680.221
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10202.361
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21310.916
cublaslt_fp16acc,768,60173.330
wmma_fp16acc_staged_cpasync_k64_skew16,1024,62543.208
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21186.699
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26488.598
mma_fp16acc_m16n32_k32_4x2,1024,38065.154
cublaslt_fp16acc,1024,67176.037
wmma_fp16acc_staged_cpasync_k64_skew16,1280,76248.980
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77283.019
mma_fp16acc,1280,22134.933
mma_fp16acc_m16n32,1280,27312.357
mma_fp16acc_m16n32_k32,1280,36348.309
mma_fp16acc_m16n32_k32_4x2,1280,43172.595
cublaslt_fp16acc,1280,105152.020
wmma_fp16acc_staged_cpasync_k64_skew16,1536,91827.462
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91920.627
mma_fp16acc,1536,23077.324
mma_fp16acc_m16n32,1536,37276.568
mma_fp16acc_m16n32_k32,1536,42637.880
mma_fp16acc_m16n32_k32_4x2,1536,42706.214
cublaslt_fp16acc,1536,104302.281
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91377.427
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92887.804
mma_fp16acc,1792,23714.993
mma_fp16acc_m16n32,1792,28622.941
mma_fp16acc_m16n32_k32,1792,39436.577
mma_fp16acc_m16n32_k32_4x2,1792,54304.933
cublaslt_fp16acc,1792,113852.979
wmma_fp16acc_staged_cpasync_k64_skew16,2048,92119.235
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,106861.247
mma_fp16acc,2048,24335.195
mma_fp16acc_m16n32,2048,36271.385
mma_fp16acc_m16n32_k32,2048,45221.606
mma_fp16acc_m16n32_k32_4x2,2048,59513.459
cublaslt_fp16acc,2048,146047.580
wmma_fp16acc_staged_cpasync_k64_skew16,2304,95551.483
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2304,100388.984
mma_fp16acc,2304,24684.725
mma_fp16acc_m16n32,2304,32308.877
mma_fp16acc_m16n32_k32,2304,45236.825
mma_fp16acc_m16n32_k32_4x2,2304,59369.492
cublaslt_fp16acc,2304,128429.416
wmma_fp16acc_staged_cpasync_k64_skew16,2560,91831.326
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2560,105363.340
mma_fp16acc,2560,24863.385
mma_fp16acc_m16n32,2560,37991.884
mma_fp16acc_m16n32_k32,2560,48545.184
mma_fp16acc_m16n32_k32_4x2,2560,59495.364
cublaslt_fp16acc,2560,123166.266
wmma_fp16acc_staged_cpasync_k64_skew16,2816,92271.637
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2816,104719.915
mma_fp16acc,2816,25153.502
mma_fp16acc_m16n32,2816,35972.801
mma_fp16acc_m16n32_k32,2816,49233.783
mma_fp16acc_m16n32_k32_4x2,2816,62754.257
cublaslt_fp16acc,2816,145138.801
wmma_fp16acc_staged_cpasync_k64_skew16,3072,95905.328
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3072,110336.095
mma_fp16acc,3072,24743.467
mma_fp16acc_m16n32,3072,35422.650
mma_fp16acc_m16n32_k32,3072,49028.975
mma_fp16acc_m16n32_k32_4x2,3072,64162.160
cublaslt_fp16acc,3072,156417.418
wmma_fp16acc_staged_cpasync_k64_skew16,3328,93983.414
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3328,107239.617
mma_fp16acc,3328,21056.244
mma_fp16acc_m16n32,3328,22872.532
mma_fp16acc_m16n32_k32,3328,38305.342
mma_fp16acc_m16n32_k32_4x2,3328,54641.702
cublaslt_fp16acc,3328,152903.551
wmma_fp16acc_staged_cpasync_k64_skew16,3584,95252.507
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3584,109519.354
mma_fp16acc,3584,21173.999
mma_fp16acc_m16n32,3584,22294.914
mma_fp16acc_m16n32_k32,3584,37605.768
mma_fp16acc_m16n32_k32_4x2,3584,58947.626
cublaslt_fp16acc,3584,140933.210
wmma_fp16acc_staged_cpasync_k64_skew16,3840,92882.008
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3840,108750.054
mma_fp16acc,3840,21111.828
mma_fp16acc_m16n32,3840,22713.493
mma_fp16acc_m16n32_k32,3840,37815.695
mma_fp16acc_m16n32_k32_4x2,3840,60106.389
cublaslt_fp16acc,3840,143865.356
wmma_fp16acc_staged_cpasync_k64_skew16,4096,95536.074
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,4096,111107.391
mma_fp16acc,4096,21454.831
mma_fp16acc_m16n32,4096,23247.392
mma_fp16acc_m16n32_k32,4096,39216.282
mma_fp16acc_m16n32_k32_4x2,4096,63142.711
cublaslt_fp16acc,4096,178244.002
