impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6765.006
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2766.691
mma_fp16acc_m16n32,256,1122.072
cublaslt_fp16acc,256,6853.438
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29127.110
mma_fp16acc,512,10979.853
mma_fp16acc_m16n32,512,4681.143
cublaslt_fp16acc,512,34030.862
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,47225.272
mma_fp16acc,768,18061.597
mma_fp16acc_m16n32,768,10267.109
cublaslt_fp16acc,768,59918.630
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63550.060
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87438.257
mma_fp16acc,1024,21233.623
mma_fp16acc_m16n32,1024,18236.104
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,77260.242
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77305.810
mma_fp16acc,1280,22140.541
mma_fp16acc_m16n32,1280,27332.290
cublaslt_fp16acc,1280,105575.511
wmma_fp16acc_staged_cpasync_k64_skew16,1536,89646.718
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91939.279
mma_fp16acc,1536,23055.009
mma_fp16acc_m16n32,1536,37470.827
cublaslt_fp16acc,1536,104350.347
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91377.427
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92887.804
mma_fp16acc,1792,23761.996
mma_fp16acc_m16n32,1792,28587.677
cublaslt_fp16acc,1792,113655.101
wmma_fp16acc_staged_cpasync_k64_skew16,2048,91969.320
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,106861.247
mma_fp16acc,2048,24284.011
mma_fp16acc_m16n32,2048,36196.798
cublaslt_fp16acc,2048,146146.978
wmma_fp16acc_staged_cpasync_k64_skew16,2304,95313.210
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2304,100428.548
mma_fp16acc,2304,24704.271
mma_fp16acc_m16n32,2304,32306.148
cublaslt_fp16acc,2304,128429.416
wmma_fp16acc_staged_cpasync_k64_skew16,2560,91835.349
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2560,105384.514
mma_fp16acc,2560,24890.239
mma_fp16acc_m16n32,2560,38009.787
cublaslt_fp16acc,2560,123180.738
wmma_fp16acc_staged_cpasync_k64_skew16,2816,92814.700
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2816,104833.970
mma_fp16acc,2816,25166.882
mma_fp16acc_m16n32,2816,35957.968
cublaslt_fp16acc,2816,145033.212
wmma_fp16acc_staged_cpasync_k64_skew16,3072,95420.469
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3072,110379.789
mma_fp16acc,3072,24618.740
mma_fp16acc_m16n32,3072,37213.789
cublaslt_fp16acc,3072,156417.418
wmma_fp16acc_staged_cpasync_k64_skew16,3328,94039.045
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3328,107294.562
mma_fp16acc,3328,21049.511
mma_fp16acc_m16n32,3328,22989.397
cublaslt_fp16acc,3328,153183.149
wmma_fp16acc_staged_cpasync_k64_skew16,3584,94903.773
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3584,109527.694
mma_fp16acc,3584,21192.246
mma_fp16acc_m16n32,3584,22294.914
cublaslt_fp16acc,3584,140967.743
wmma_fp16acc_staged_cpasync_k64_skew16,3840,92159.996
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3840,108743.369
mma_fp16acc,3840,21105.595
mma_fp16acc_m16n32,3840,22952.286
cublaslt_fp16acc,3840,148082.259
wmma_fp16acc_staged_cpasync_k64_skew16,4096,98914.518
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,4096,116256.146
mma_fp16acc,4096,21372.515
mma_fp16acc_m16n32,4096,23082.968
cublaslt_fp16acc,4096,178007.602
