impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6678.828
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5518.821
mma_fp16acc,256,2734.227
mma_fp16acc_m16n32,256,1106.677
mma_fp16acc_m16n32_k32,256,1633.296
mma_fp16acc_m16n32_k32_4x2,256,2175.469
mma_fp16acc_m16n32_k32_4x4,256,1575.621
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,5077.850
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5295.839
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4681.143
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,5077.850
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,256,3640.889
cublaslt_fp16acc,256,6831.114
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29641.724
mma_fp16acc,512,11008.672
mma_fp16acc_m16n32,512,4681.143
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7008.027
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,25343.225
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26462.486
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26546.226
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23831.273
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,19284.157
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,512,24279.617
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,512,19668.484
cublaslt_fp16acc,512,37449.142
wmma_fp16acc_staged_cpasync_k64_skew16,768,58737.659
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46565.055
mma_fp16acc,768,18107.804
mma_fp16acc_m16n32,768,10174.862
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21286.881
mma_fp16acc_m16n32_k32_4x4,768,16122.752
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46603.380
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46603.380
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,768,41120.627
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,40677.517
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,768,49151.998
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,768,41090.786
cublaslt_fp16acc,768,59918.630
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63191.024
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21183.354
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26286.275
mma_fp16acc_m16n32_k32_4x2,1024,38130.036
mma_fp16acc_m16n32_k32_4x4,1024,29196.809
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1024,72707.325
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1024,80659.693
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1024,73867.760
cublaslt_fp16acc,1024,67513.948
wmma_fp16acc_staged_cpasync_k64_skew16,1280,77283.019
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77283.019
mma_fp16acc,1280,22140.541
mma_fp16acc_m16n32,1280,27309.511
mma_fp16acc_m16n32_k32,1280,36566.328
mma_fp16acc_m16n32_k32_4x2,1280,43115.788
mma_fp16acc_m16n32_k32_4x4,1280,43037.928
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71859.648
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1280,73142.856
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1280,78065.516
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1280,64015.625
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1280,67825.099
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1280,76382.283
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1280,68266.668
cublaslt_fp16acc,1280,105363.340
wmma_fp16acc_staged_cpasync_k64_skew16,1536,91920.627
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91920.627
mma_fp16acc,1536,23057.357
mma_fp16acc_m16n32,1536,37252.041
mma_fp16acc_m16n32_k32,1536,42758.621
mma_fp16acc_m16n32_k32_4x2,1536,43157.854
mma_fp16acc_m16n32_k32_4x4,1536,34695.530
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1536,57354.372
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1536,71403.663
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1536,92996.278
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1536,66148.486
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1536,70088.946
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1536,87550.222
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1536,69391.060
cublaslt_fp16acc,1536,104230.287
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91377.427
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92887.804
mma_fp16acc,1792,23691.561
mma_fp16acc_m16n32,1792,28635.476
mma_fp16acc_m16n32_k32,1792,39436.577
mma_fp16acc_m16n32_k32_4x2,1792,54296.733
mma_fp16acc_m16n32_k32_4x4,1792,45320.259
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1792,72512.412
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1792,79694.562
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1792,98550.911
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1792,75503.638
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1792,76458.667
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1792,94573.116
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1792,74533.536
cublaslt_fp16acc,1792,113889.031
wmma_fp16acc_staged_cpasync_k64_skew16,2048,92182.504
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,106818.733
mma_fp16acc,2048,24279.617
mma_fp16acc_m16n32,2048,36314.321
mma_fp16acc_m16n32_k32,2048,45776.852
mma_fp16acc_m16n32_k32_4x2,2048,59496.972
mma_fp16acc_m16n32_k32_4x4,2048,57936.756
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2048,81418.095
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2048,86334.472
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2048,111107.391
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,2048,88790.359
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,2048,97541.953
