impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6786.900
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1127.501
mma_fp16acc_m16n32_k32,256,1588.751
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1566.208
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,5065.584
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
cublaslt_fp16acc,256,6898.527
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29228.599
mma_fp16acc,512,10951.185
mma_fp16acc_m16n32,512,4681.143
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7084.973
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,25890.766
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,27685.174
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,27639.567
cublaslt_fp16acc,512,35848.751
wmma_fp16acc_staged_cpasync_k64_skew16,768,58616.048
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46951.160
mma_fp16acc,768,18061.597
mma_fp16acc_m16n32,768,10187.676
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21223.052
mma_fp16acc_m16n32_k32_4x4,768,16173.409
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46873.430
cublaslt_fp16acc,768,60885.059
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63550.060
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87781.379
mma_fp16acc,1024,21183.354
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26332.692
mma_fp16acc_m16n32_k32_4x2,1024,38130.036
mma_fp16acc_m16n32_k32_4x4,1024,29165.086
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65600.063
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
cublaslt_fp16acc,1024,67513.948
wmma_fp16acc_staged_cpasync_k64_skew16,1280,76583.115
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77374.263
mma_fp16acc,1280,22079.002
mma_fp16acc_m16n32,1280,27355.108
mma_fp16acc_m16n32_k32,1280,36535.747
mma_fp16acc_m16n32_k32_4x2,1280,43094.526
mma_fp16acc_m16n32_k32_4x4,1280,42904.092
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71780.945
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1280,73306.488
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1280,77511.528
cublaslt_fp16acc,1280,105025.645
wmma_fp16acc_staged_cpasync_k64_skew16,1536,91790.238
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,92013.982
mma_fp16acc,1536,23130.353
mma_fp16acc_m16n32,1536,37449.143
mma_fp16acc_m16n32_k32,1536,42770.732
mma_fp16acc_m16n32_k32_4x2,1536,42778.812
mma_fp16acc_m16n32_k32_4x4,1536,34684.903
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1536,57543.802
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1536,70778.882
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1536,92088.806
cublaslt_fp16acc,1536,104134.443
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91377.427
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92887.804
mma_fp16acc,1792,23736.904
mma_fp16acc_m16n32,1792,28643.457
mma_fp16acc_m16n32_k32,1792,39436.577
mma_fp16acc_m16n32_k32_4x2,1792,54296.733
mma_fp16acc_m16n32_k32_4x4,1792,45320.259
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1792,72983.276
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1792,82443.916
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1792,98591.437
cublaslt_fp16acc,1792,113655.101
wmma_fp16acc_staged_cpasync_k64_skew16,2048,91945.695
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,106818.723
mma_fp16acc,2048,24317.558
mma_fp16acc_m16n32,2048,36272.612
mma_fp16acc_m16n32_k32,2048,45221.606
mma_fp16acc_m16n32_k32_4x2,2048,59562.979
mma_fp16acc_m16n32_k32_4x4,2048,57846.235
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2048,81442.797
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2048,86480.498
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2048,111280.113
cublaslt_fp16acc,2048,146047.580
wmma_fp16acc_staged_cpasync_k64_skew16,2304,95611.244
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2304,100693.132
mma_fp16acc,2304,24703.073
mma_fp16acc_m16n32,2304,32280.226
mma_fp16acc_m16n32_k32,2304,45163.331
mma_fp16acc_m16n32_k32_4x2,2304,59286.611
mma_fp16acc_m16n32_k32_4x4,2304,51385.582
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2304,80702.267
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2304,87828.104
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2304,109248.522
cublaslt_fp16acc,2304,128429.416
wmma_fp16acc_staged_cpasync_k64_skew16,2560,91742.947
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2560,105347.458
mma_fp16acc,2560,24899.696
mma_fp16acc_m16n32,2560,38058.073
mma_fp16acc_m16n32_k32,2560,48508.131
mma_fp16acc_m16n32_k32_4x2,2560,59588.335
mma_fp16acc_m16n32_k32_4x4,2560,50031.061
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2560,75328.737
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2560,83705.276
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2560,114223.964
cublaslt_fp16acc,2560,123187.975
wmma_fp16acc_staged_cpasync_k64_skew16,2816,92107.220
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2816,104668.862
mma_fp16acc,2816,25164.387
mma_fp16acc_m16n32,2816,36015.035
mma_fp16acc_m16n32_k32,2816,49186.068
mma_fp16acc_m16n32_k32_4x2,2816,62757.079
mma_fp16acc_m16n32_k32_4x4,2816,57211.855
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2816,79683.395
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2816,83087.047
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2816,115692.354
cublaslt_fp16acc,2816,145003.068
wmma_fp16acc_staged_cpasync_k64_skew16,3072,95923.097
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3072,110406.686
mma_fp16acc,3072,24738.569
mma_fp16acc_m16n32,3072,35458.695
mma_fp16acc_m16n32_k32,3072,48942.895
mma_fp16acc_m16n32_k32_4x2,3072,64212.179
mma_fp16acc_m16n32_k32_4x4,3072,54482.946
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3072,82420.822
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,3072,89266.888
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,3072,120896.699
cublaslt_fp16acc,3072,156417.418
wmma_fp16acc_staged_cpasync_k64_skew16,3328,94108.188
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3328,107174.763
mma_fp16acc,3328,21077.822
mma_fp16acc_m16n32,3328,22858.688
mma_fp16acc_m16n32_k32,3328,38322.863
mma_fp16acc_m16n32_k32_4x2,3328,54795.062
mma_fp16acc_m16n32_k32_4x4,3328,46341.819
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3328,79819.879
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,3328,85633.832
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,3328,118993.876
cublaslt_fp16acc,3328,153132.244
wmma_fp16acc_staged_cpasync_k64_skew16,3584,95249.353
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3584,109519.354
mma_fp16acc,3584,21208.726
mma_fp16acc_m16n32,3584,22378.147
mma_fp16acc_m16n32_k32,3584,37583.172
mma_fp16acc_m16n32_k32_4x2,3584,58921.674
mma_fp16acc_m16n32_k32_4x4,3584,50867.912
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3584,83357.509
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,3584,88382.511
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,3584,121671.711
cublaslt_fp16acc,3584,140933.210
wmma_fp16acc_staged_cpasync_k64_skew16,3840,92939.338
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3840,108743.369
mma_fp16acc,3840,21095.279
mma_fp16acc_m16n32,3840,22583.838
mma_fp16acc_m16n32_k32,3840,37520.611
mma_fp16acc_m16n32_k32_4x2,3840,59611.298
mma_fp16acc_m16n32_k32_4x4,3840,51742.355
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,3840,81228.057
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,3840,85651.388
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,3840,121396.266
cublaslt_fp16acc,3840,142026.447
wmma_fp16acc_staged_cpasync_k64_skew16,4096,95733.047
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,4096,111816.079
mma_fp16acc,4096,21492.622
mma_fp16acc_m16n32,4096,22888.488
mma_fp16acc_m16n32_k32,4096,38469.340
mma_fp16acc_m16n32_k32_4x2,4096,61667.658
mma_fp16acc_m16n32_k32_4x4,4096,54317.171
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,4096,88691.345
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,4096,88768.339
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,4096,124282.873
cublaslt_fp16acc,4096,161903.165
