impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6574.145
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1110.780
mma_fp16acc_m16n32_k32,256,1638.400
cublaslt_fp16acc,256,7256.582
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29433.711
mma_fp16acc,512,11044.908
mma_fp16acc_m16n32,512,4687.683
mma_fp16acc_m16n32_k32,512,6901.364
cublaslt_fp16acc,512,36873.002
wmma_fp16acc_staged_cpasync_k64_skew16,768,58982.401
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,47068.246
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10235.557
mma_fp16acc_m16n32_k32,768,15007.448
cublaslt_fp16acc,768,61082.100
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63489.937
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87724.005
mma_fp16acc,1024,21243.704
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26504.291
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,77260.242
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77328.614
mma_fp16acc,1280,22148.023
mma_fp16acc_m16n32,1280,27318.048
mma_fp16acc_m16n32_k32,1280,36571.428
cublaslt_fp16acc,1280,105025.645
wmma_fp16acc_staged_cpasync_k64_skew16,1536,90742.157
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,92013.982
mma_fp16acc,1536,23062.053
mma_fp16acc_m16n32,1536,37473.928
mma_fp16acc_m16n32_k32,1536,42637.880
cublaslt_fp16acc,1536,104470.673
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91354.211
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,92887.804
mma_fp16acc,1792,23758.856
mma_fp16acc_m16n32,1792,28637.754
mma_fp16acc_m16n32_k32,1792,39447.389
cublaslt_fp16acc,1792,113744.958
wmma_fp16acc_staged_cpasync_k64_skew16,2048,91678.778
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,106861.247
mma_fp16acc,2048,24227.028
mma_fp16acc_m16n32,2048,36281.192
mma_fp16acc_m16n32_k32,2048,45864.842
cublaslt_fp16acc,2048,146107.195
wmma_fp16acc_staged_cpasync_k64_skew16,2304,95170.808
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2304,100792.709
mma_fp16acc,2304,24703.073
mma_fp16acc_m16n32,2304,32219.003
mma_fp16acc_m16n32_k32,2304,45271.652
cublaslt_fp16acc,2304,128569.827
wmma_fp16acc_staged_cpasync_k64_skew16,2560,91787.112
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2560,105448.116
mma_fp16acc,2560,24881.676
mma_fp16acc_m16n32,2560,38013.922
mma_fp16acc_m16n32_k32,2560,48545.184
cublaslt_fp16acc,2560,123253.137
wmma_fp16acc_staged_cpasync_k64_skew16,2816,92833.225
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2816,104841.847
mma_fp16acc,2816,25168.017
mma_fp16acc_m16n32,2816,35912.167
mma_fp16acc_m16n32_k32,2816,49292.906
cublaslt_fp16acc,2816,145274.760
wmma_fp16acc_staged_cpasync_k64_skew16,3072,95325.094
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3072,110517.807
mma_fp16acc,3072,24630.956
mma_fp16acc_m16n32,3072,37239.791
mma_fp16acc_m16n32_k32,3072,48171.296
cublaslt_fp16acc,3072,156370.161
wmma_fp16acc_staged_cpasync_k64_skew16,3328,93983.414
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3328,107289.564
mma_fp16acc,3328,21068.568
mma_fp16acc_m16n32,3328,23011.441
mma_fp16acc_m16n32_k32,3328,38409.121
cublaslt_fp16acc,3328,153234.106
wmma_fp16acc_staged_cpasync_k64_skew16,3584,94797.461
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3584,109533.946
mma_fp16acc,3584,21181.403
mma_fp16acc_m16n32,3584,22382.759
mma_fp16acc_m16n32_k32,3584,37582.437
cublaslt_fp16acc,3584,140933.210
wmma_fp16acc_staged_cpasync_k64_skew16,3840,92053.332
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,3840,108745.037
mma_fp16acc,3840,21133.575
mma_fp16acc_m16n32,3840,22677.179
mma_fp16acc_m16n32_k32,3840,37816.706
cublaslt_fp16acc,3840,143751.412
wmma_fp16acc_staged_cpasync_k64_skew16,4096,96810.909
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,4096,111153.398
mma_fp16acc,4096,21440.263
mma_fp16acc_m16n32,4096,24257.677
mma_fp16acc_m16n32_k32,4096,39551.414
cublaslt_fp16acc,4096,178804.238
