impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6721.641
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5475.593
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1102.024
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2122.624
mma_fp16acc_m16n32_k32_4x4,256,1563.872
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4888.466
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5077.850
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
cublaslt_fp16acc,256,6721.641
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29177.766
mma_fp16acc,512,11015.901
mma_fp16acc_m16n32,512,4681.143
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7070.044
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24492.287
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26929.722
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26588.297
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,19645.452
cublaslt_fp16acc,512,36472.208
wmma_fp16acc_staged_cpasync_k64_skew16,768,58434.577
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46718.736
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10191.344
mma_fp16acc_m16n32_k32,768,15007.448
mma_fp16acc_m16n32_k32_4x2,768,21578.927
mma_fp16acc_m16n32_k32_4x4,768,16118.162
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46795.958
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,40706.761
cublaslt_fp16acc,768,59603.266
wmma_fp16acc_staged_cpasync_k64_skew16,1024,62601.551
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87552.332
mma_fp16acc,1024,21213.486
mma_fp16acc_m16n32,1024,18241.061
mma_fp16acc_m16n32_k32,1024,26363.724
mma_fp16acc_m16n32_k32_4x2,1024,38130.036
mma_fp16acc_m16n32_k32_4x4,1024,29139.758
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
