impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6574.145
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2737.796
mma_fp16acc_m16n32,256,1129.931
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1569.725
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4798.975
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4733.977
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,5295.839
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,256,3640.889
cublaslt_fp16acc,256,6678.828
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29537.351
mma_fp16acc,512,11008.672
mma_fp16acc_m16n32,512,4683.757
mma_fp16acc_m16n32_k32,512,6912.738
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7084.973
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,25191.017
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26504.291
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26420.812
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,512,26214.401
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23730.149
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,19021.788
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,512,24928.998
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,512,19737.901
cublaslt_fp16acc,512,33288.127
wmma_fp16acc_staged_cpasync_k64_skew16,768,57310.837
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,46795.958
mma_fp16acc,768,18055.837
mma_fp16acc_m16n32,768,10239.260
mma_fp16acc_m16n32_k32,768,15019.391
mma_fp16acc_m16n32_k32_4x2,768,21262.900
mma_fp16acc_m16n32_k32_4x4,768,16118.162
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46680.221
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,46757.310
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,768,46450.456
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,768,40824.157
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,42005.269
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,768,49151.998
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,768,40619.156
cublaslt_fp16acc,768,59982.104
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63459.917
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87381.330
mma_fp16acc,1024,21183.354
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26520.003
mma_fp16acc_m16n32_k32_4x2,1024,38130.036
mma_fp16acc_m16n32_k32_4x4,1024,29330.795
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1024,73063.542
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1024,80659.693
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1024,73949.163
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,76182.507
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77283.019
mma_fp16acc,1280,22140.541
mma_fp16acc_m16n32,1280,27357.963
mma_fp16acc_m16n32_k32,1280,36571.428
mma_fp16acc_m16n32_k32_4x2,1280,43165.487
mma_fp16acc_m16n32_k32_4x4,1280,42771.086
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71722.022
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1280,73142.856
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1280,77833.728
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,1280,77191.990
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1280,63921.973
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1280,68248.895
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,1280,75873.806
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,1280,68266.668
cublaslt_fp16acc,1280,105025.645
wmma_fp16acc_staged_cpasync_k64_skew16,1536,90380.055
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91920.627
mma_fp16acc,1536,23055.009
mma_fp16acc_m16n32,1536,37455.335
mma_fp16acc_m16n32_k32,1536,42706.214
mma_fp16acc_m16n32_k32_4x2,1536,42896.290
mma_fp16acc_m16n32_k32_4x4,1536,34642.462
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1536,57079.743
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1536,71856.736
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1536,93130.109
