impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6553.600
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1126.895
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1573.257
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4788.018
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,256,5745.622
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4744.688
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3628.291
mma_fp16acc_m16n64_staged_cpasync_k64_4x1_skew16,256,4969.554
mma_fp16acc_m16n64_staged_cpasync_k64_4x2_skew16,256,3634.579
cublaslt_fp16acc,256,6743.254
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29485.440
mma_fp16acc,512,10994.244
mma_fp16acc_m16n32,512,4690.304
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,7084.973
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24600.023
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26630.501
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26546.229
mma_fp16acc_m16n32_staged_cpasync_ca_k64_4x2_skew16,512,26214.401
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16_vstore,512,31068.916
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23831.273
