impl,size,median_gflops
wmma_fp16acc_staged_cpasync_k64_skew16,256,6636.557
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,256,5461.333
mma_fp16acc,256,2730.667
mma_fp16acc_m16n32,256,1129.931
mma_fp16acc_m16n32_k32,256,1638.400
mma_fp16acc_m16n32_k32_4x2,256,2184.533
mma_fp16acc_m16n32_k32_4x4,256,1562.706
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,256,4809.982
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,256,5295.839
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,256,5461.333
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,256,4744.688
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,256,3640.889
cublaslt_fp16acc,256,6615.621
wmma_fp16acc_staged_cpasync_k64_skew16,512,37449.142
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,512,29799.674
mma_fp16acc,512,10987.044
mma_fp16acc_m16n32,512,4687.683
mma_fp16acc_m16n32_k32,512,6898.527
mma_fp16acc_m16n32_k32_4x2,512,9709.037
mma_fp16acc_m16n32_k32_4x4,512,6961.501
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,512,24708.713
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,512,26757.920
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,512,26800.665
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,512,23831.273
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,512,19152.072
cublaslt_fp16acc,512,36873.002
wmma_fp16acc_staged_cpasync_k64_skew16,768,58798.654
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,768,48026.381
mma_fp16acc,768,18067.359
mma_fp16acc_m16n32,768,10267.109
mma_fp16acc_m16n32_k32,768,14995.525
mma_fp16acc_m16n32_k32_4x2,768,21383.346
mma_fp16acc_m16n32_k32_4x4,768,16122.752
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,768,46565.055
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,768,47304.179
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,768,42130.286
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,768,40590.041
cublaslt_fp16acc,768,59603.266
wmma_fp16acc_staged_cpasync_k64_skew16,1024,63550.060
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1024,87609.482
mma_fp16acc,1024,21200.085
mma_fp16acc_m16n32,1024,18236.104
mma_fp16acc_m16n32_k32,1024,26546.229
mma_fp16acc_m16n32_k32_4x2,1024,38130.036
mma_fp16acc_m16n32_k32_4x4,1024,29177.766
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1024,65536.000
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1024,69905.068
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1024,80659.693
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1024,69255.790
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1024,73584.284
cublaslt_fp16acc,1024,67650.065
wmma_fp16acc_staged_cpasync_k64_skew16,1280,77033.204
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1280,77305.810
mma_fp16acc,1280,22140.541
mma_fp16acc_m16n32,1280,27309.511
mma_fp16acc_m16n32_k32,1280,36469.673
mma_fp16acc_m16n32_k32_4x2,1280,43215.298
mma_fp16acc_m16n32_k32_4x4,1280,42785.051
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1280,71780.945
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1280,73142.856
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1280,77718.350
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1280,63968.765
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1280,67406.530
cublaslt_fp16acc,1280,105025.645
wmma_fp16acc_staged_cpasync_k64_skew16,1536,92013.982
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1536,91920.627
mma_fp16acc,1536,23104.398
mma_fp16acc_m16n32,1536,37449.143
mma_fp16acc_m16n32_k32,1536,42706.214
mma_fp16acc_m16n32_k32_4x2,1536,42888.165
mma_fp16acc_m16n32_k32_4x4,1536,34695.530
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1536,57180.620
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1536,71493.820
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1536,93130.109
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1536,66148.486
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1536,70078.101
cublaslt_fp16acc,1536,104086.586
wmma_fp16acc_staged_cpasync_k64_skew16,1792,91377.427
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,1792,93043.997
mma_fp16acc,1792,23795.796
mma_fp16acc_m16n32,1792,28651.444
mma_fp16acc_m16n32_k32,1792,39378.285
mma_fp16acc_m16n32_k32_4x2,1792,54206.717
mma_fp16acc_m16n32_k32_4x4,1792,45320.259
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,1792,72828.099
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,1792,79676.911
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,1792,98537.414
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,1792,75432.376
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,1792,76458.667
cublaslt_fp16acc,1792,113726.979
wmma_fp16acc_staged_cpasync_k64_skew16,2048,92182.504
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2048,106585.451
mma_fp16acc,2048,24262.061
mma_fp16acc_m16n32,2048,36320.464
mma_fp16acc_m16n32_k32,2048,45485.973
mma_fp16acc_m16n32_k32_4x2,2048,59855.162
mma_fp16acc_m16n32_k32_4x4,2048,57852.470
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2048,81442.797
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2048,86480.498
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2048,111187.926
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,2048,88885.907
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,2048,97171.207
cublaslt_fp16acc,2048,146127.084
wmma_fp16acc_staged_cpasync_k64_skew16,2304,95557.457
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2304,100766.135
mma_fp16acc,2304,24705.468
mma_fp16acc_m16n32,2304,32349.212
mma_fp16acc_m16n32_k32,2304,45194.038
mma_fp16acc_m16n32_k32_4x2,2304,59438.738
mma_fp16acc_m16n32_k32_4x4,2304,51371.769
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2304,80566.182
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2304,88157.289
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2304,109123.755
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,2304,84098.347
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,2304,88885.102
cublaslt_fp16acc,2304,128429.416
wmma_fp16acc_staged_cpasync_k64_skew16,2560,91811.220
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2560,105363.340
mma_fp16acc,2560,24880.789
mma_fp16acc_m16n32,2560,37925.926
mma_fp16acc_m16n32_k32,2560,48493.547
mma_fp16acc_m16n32_k32_4x2,2560,59578.182
mma_fp16acc_m16n32_k32_4x4,2560,50107.568
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2560,74687.562
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2560,83698.592
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew16,2560,114255.076
mma_fp16acc_m16n32_staged_cpasync_k64_4x2_skew32,2560,88308.576
mma_fp16acc_m16n32_staged_cpasync_k64_4x4_skew16,2560,94949.607
cublaslt_fp16acc,2560,123195.200
wmma_fp16acc_staged_cpasync_k64_skew16,2816,92210.670
wmma_fp16acc_staged_cpasync_k64_4x4_skew16,2816,104818.227
mma_fp16acc,2816,25166.656
mma_fp16acc_m16n32,2816,36012.248
mma_fp16acc_m16n32_k32,2816,49252.894
mma_fp16acc_m16n32_k32_4x2,2816,62755.670
mma_fp16acc_m16n32_k32_4x4,2816,57218.893
mma_fp16acc_m16n32_staged_cpasync_k32_4x2,2816,79660.657
mma_fp16acc_m16n32_staged_cpasync_k64_4x2,2816,83096.944
